,uset,omega,sigma,latency,nom
0,2,1,0.05,0,1908.6044254063434
1,2,1,0.05,1,1911.3494264332253
2,2,1,0.05,2,1913.9535229410803
3,2,1,0.05,3,1916.8399413295479
4,2,1,0.05,4,1920.164115931297
5,2,1,0.05,5,1923.3192650945116
6,2,1,0.05,6,1925.8169930510435
7,2,1,0.05,7,1927.7705160804132
8,2,1,0.05,8,1929.3309643376742
9,2,1,0.05,9,1930.614217574207
10,2,1,0.05,10,1931.823072796786
11,2,1,0.05,11,1933.0338040391769
12,2,1,0.05,12,1934.1725354723999
13,2,1,0.05,13,1935.4314585369286
14,2,1,0.05,14,1936.6288537521523
15,2,1,0.05,15,1937.756184156598
16,2,1,0.05,16,1938.9804648901345
17,2,1,0.05,17,1940.2234949622612
18,2,1,0.05,18,1941.3367533398905
19,2,1,0.05,19,1942.2620520057405
20,2,1,0.05,20,1942.9074517130493
21,2,1,0.05,21,1943.3951962880028
22,2,1,0.05,22,1943.80231569999
23,2,1,0.1,0,1911.3250484927817
24,2,1,0.1,1,1916.815642000695
25,2,1,0.1,2,1922.0240981845434
26,2,1,0.1,3,1928.219799735793
27,2,1,0.1,4,1935.1999532490838
28,2,1,0.1,5,1941.771888699977
29,2,1,0.1,6,1946.9967584535361
30,2,1,0.1,7,1951.2149455124281
31,2,1,0.1,8,1954.3884390173369
32,2,1,0.1,9,1957.0143307570972
33,2,1,0.1,10,1959.5106283829546
34,2,1,0.1,11,1962.0347939862222
35,2,1,0.1,12,1964.4354125124505
36,2,1,0.1,13,1967.0953946535897
37,2,1,0.1,14,1969.6280053441574
38,2,1,0.1,15,1972.0272085200431
39,2,1,0.1,16,1974.606674923883
40,2,1,0.1,17,1977.2641163377332
41,2,1,0.1,18,1979.49118722226
42,2,1,0.1,19,1981.341527948559
43,2,1,0.1,20,1982.6324320140461
44,2,1,0.1,21,1983.6077846083444
45,2,1,0.1,22,1984.422053024562
46,2,1,0.15,0,1914.6797885985436
47,2,1,0.15,1,1923.9536414857364
48,2,1,0.15,2,1932.692083709735
49,2,1,0.15,3,1942.130292931548
50,2,1,0.15,4,1952.6866574629196
51,2,1,0.15,5,1962.6524925514532
52,2,1,0.15,6,1970.61280060227
53,2,1,0.15,7,1977.1081107736527
54,2,1,0.15,8,1982.0551383376464
55,2,1,0.15,9,1986.2139194553577
56,2,1,0.15,10,1990.2664353226974
57,2,1,0.15,11,1994.4747490312043
58,2,1,0.15,12,1998.4531982297215
59,2,1,0.15,13,2002.6885260548925
60,2,1,0.15,14,2006.596553142078
61,2,1,0.15,15,2010.2162235419332
62,2,1,0.15,16,2014.0856926376655
63,2,1,0.15,17,2018.0712203564167
64,2,1,0.15,18,2021.4121389077952
65,2,1,0.15,19,2024.188127448779
66,2,1,0.15,20,2026.1242319592657
67,2,1,0.15,21,2027.5871680368407
68,2,1,0.15,22,2028.8087863688913
69,2,1,0.2,0,1919.333929323697
70,2,1,0.2,1,1931.739755754419
71,2,1,0.2,2,1943.4526170048414
72,2,1,0.2,3,1956.114510116311
73,2,1,0.2,4,1970.2940635382406
74,2,1,0.2,5,1983.7202726365326
75,2,1,0.2,6,1994.5019358696154
76,2,1,0.2,7,2003.3867934943746
77,2,1,0.2,8,2010.2196995684171
78,2,1,0.2,9,2016.0338432559356
79,2,1,0.2,10,2021.7186255431502
80,2,1,0.2,11,2027.4169760827463
81,2,1,0.2,12,2032.7214085231894
82,2,1,0.2,13,2038.368434877203
83,2,1,0.2,14,2043.579409557553
84,2,1,0.2,15,2048.4055350147146
85,2,1,0.2,16,2053.564733407437
86,2,1,0.2,17,2058.878627372299
87,2,1,0.2,18,2063.33330358417
88,2,1,0.2,19,2067.034458510534
89,2,1,0.2,20,2069.6161041765845
90,2,1,0.2,21,2071.5666902090925
91,2,1,0.2,22,2073.1955097153027
92,2,1,0.25,0,1923.9923031623991
93,2,1,0.25,1,1939.5377108999364
94,2,1,0.25,2,1954.2633720578306
95,2,1,0.25,3,1970.2022930305247
96,2,1,0.25,4,1988.052064903035
97,2,1,0.25,5,2004.9730440156986
98,2,1,0.25,6,2018.6230785674054
99,2,1,0.25,7,2029.9496712817145
100,2,1,0.25,8,2038.6950967986172
101,2,1,0.25,9,2046.1085636556802
102,2,1,0.25,10,2053.2361332861747
103,2,1,0.25,11,2060.3586909620994
104,2,1,0.25,12,2066.989635086334
105,2,1,0.25,13,2074.048431573152
106,2,1,0.25,14,2080.561832077403
107,2,1,0.25,15,2086.5945940955294
108,2,1,0.25,16,2093.043746747443
109,2,1,0.25,17,2099.686136753311
110,2,1,0.25,18,2105.2544831701875
111,2,1,0.25,19,2109.8809205092184
112,2,1,0.25,20,2113.1080405346597
113,2,1,0.25,21,2115.5462001819787
114,2,1,0.25,22,2117.582232659352
